RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1717.3160667873638,1727.1076210188137,1737.9218500057939,1748.5255539966104,1759.130172317687,1768.6759283530034,1778.6861025142484,1788.2567672311106,1802.1970389400215,1812.7647362443206,1827.206375972684,1839.86694413811,1851.4389737096042,1860.1781563729262,1868.3725032076393,1876.4806699746132,1884.787320279269,1894.0813804503189,1904.3524370922912,1913.3000654658613,1921.375121007586,1930.0241180693592,1936.864531527029,1945.7187873290643,1958.430452055892,1971.8039189749707,1987.1461118383743,1996.9539143329534,2008.1591847124553,2015.5412920631597,2024.8722258816517,2031.7528648146854,2040.4581543534464,2048.304397578184,2057.9359558727747,2067.2592903362506,2076.7855401177685,2088.815069855518,2093.5173021900305,2100.544102484008,2104.959482742461,2116.397657956018,2125.9179819028486,2137.026542810778,2144.6237991803337,2154.0021411919442,2163.2009227664394,2172.0150439579593,2177.4001530111227,2181.3003966152037,2189.578752145304,2198.690372938633,2208.8138900900344,2214.8795253863927,2220.8540915957624,2226.8026793214094,2234.20251866171,2240.2909983685468,2245.5636330155335,2250.6275634370954,2257.158685975751,2263.176263248781,2257.797118490509,2250.3267148285113,2241.740387713825,2233.8905892551643,2228.9376660682,2222.323345155668,2217.152605618101,2217.018867193509,2221.2406235784238,2224.3506116865733,2231.2239084487446,2237.677710666538,2247.3949514345136,2257.9474045169677,2274.765847776736,2301.116020796421,2331.416241455811,2367.1917709416225,2398.8395195443827,2426.4361850452756,2447.0099353663913,2471.513265903565,2492.3475436627714,2516.8645475098892,2536.6046604314033,2561.91141502424,2582.218313833648,2597.9004284345756,2609.801963643366,2618.9458751854763,2628.480232743046,2633.4435266395603,2640.4175022913364,2645.5736234386163,2647.3766334737966,2649.8597104458254,2656.869578690295,2666.058361884951,2671.2772664231675,2672.755151406405,2674.1506949296167,2677.0299484454094,2679.0685306882165,2683.9401984747096,2686.3097526498364,2691.4744717177364,2689.605688117344,2690.6207899803208,2693.2143501642963,2705.2655145348053,2716.018391299476,2725.494950735195,2733.779036099405,2739.261840696227,2746.9542720485183,2753.0588273620488,2763.3423386784148,2770.78615376992,2785.252784224319,2795.808286551198,2803.2295730288392,2800.50357304863,2801.1278651459124,2804.823362907111,2809.726766978088,2815.988908639187,2820.4526056575924,2825.172856518144
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1419.449350904362,1421.100009561683,1426.0081074817454,1429.622677430584,1434.582876789836,1437.3928342045267,1440.1025722540471,1443.78754617504,1447.7618048635768,1453.1375340307868,1457.2710884699788,1462.6324428606429,1466.854380752058,1470.486628104298,1472.3459892360024,1473.5828597854602,1475.0533495400493,1478.3596702229806,1483.5155781533597,1490.5844030614217,1493.999456147993,1497.1819002772106,1496.563563278568,1495.9801812857604,1496.9217886844121,1502.3585329137106,1510.6260997084514,1516.692837202095,1520.890741585535,1521.8424078813712,1522.603999605324,1521.3412446851685,1525.110045469018,1526.6917688485798,1531.1497569769972,1534.8315146354769,1538.9197108371604,1543.082821689167,1543.0536656447746,1544.6823264613986,1547.0249616825513,1552.4972488233984,1557.3674209786338,1559.3130608955137,1558.4289937275614,1558.8429098144766,1562.5745330435018,1570.0187631992737,1574.1911393894595,1576.7072606335246,1580.365302194943,1584.0595245511124,1588.123434204283,1591.0735932145985,1594.3287226719233,1600.4822562562736,1607.1756335739385,1614.0318828137501,1617.7951829460192,1619.1087266222817,1622.6047674869055,1626.5793581177134,1629.7164002965055,1619.3907542585266,1607.4628019779902,1597.6761555853323,1592.5758851029807,1587.8366635515831,1580.7429287243517,1571.1492985005668,1563.8820422488598,1562.5672498419478,1561.5905298218267,1566.316102360146,1572.819726818615,1589.653377969465,1607.2313429532944,1625.6564510673516,1640.7386123700096,1655.3531931343375,1671.144607386545,1685.9686655049893,1700.146015270853,1713.5793975481233,1727.2956186694066,1737.7119718309361,1748.3104594006002,1759.0221489170672,1771.8418656205054,1782.5940202294003,1794.849209617276,1805.046243932378,1816.2467037809213,1828.1856900513358,1839.9686566076837,1849.413495412111,1856.978829743512,1864.5151203032553,1872.6665594361843,1879.4965642934803,1888.2030573125699,1896.1514828868512,1904.4769465892546,1913.9623161319125,1921.0280396710234,1927.0533741188585,1931.7489053639695,1939.055766379194,1948.7815482217125,1957.3536605850309,1964.4104031050144,1972.1101089506196,1977.8377002964498,1984.8456889837164,1990.7527086734528,1997.8655503015705,2006.4411262337997,2019.056296459876,2029.7499243174914,2039.6158071211844,2048.5060201781753,2058.8962820841484,2070.1241603352505,2081.224729700299,2092.592236045262,2103.9928939818037,2116.1052760166026,2127.369163038704,2138.6798196663026,2147.400146632572
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1190.5096413072476,1191.8875407283974,1196.0193453954391,1197.848460807922,1200.162162748753,1203.0808005155998,1205.3965775415293,1209.851106100235,1210.9219803695767,1213.2365387603427,1214.383447252475,1215.559379748311,1217.6829767396368,1217.736104978492,1221.2367699483605,1221.168054881997,1219.3463346348722,1216.9772995623216,1217.60242773422,1219.0193773520282,1217.1835695762818,1215.8989303687706,1212.1580075012475,1211.4147692057418,1212.8196081104606,1219.2958961341349,1225.5212964903594,1225.204127451744,1227.8515333162438,1226.9570582471865,1229.3765685708925,1228.5302976526173,1238.4411590056623,1248.5261640521296,1261.4792050729156,1269.723489995958,1273.100394848564,1277.2045863875999,1275.1831013815695,1279.8306153622605,1278.1497770289584,1281.3138369385147,1281.6973784086315,1284.0465282548314,1284.1599533281496,1285.8761757618074,1288.6303081816216,1289.074260454829,1290.0698859666525,1286.5256804689122,1290.2227167416029,1292.8251232871548,1299.112162576555,1303.4866691998589,1307.7517513322216,1311.8945358132587,1313.2139983747059,1313.2855404943589,1311.9408824167247,1314.3365493064946,1318.454129304961,1324.889850372467,1330.9166569981446,1326.0670485772798,1317.160927980952,1307.3924569507149,1306.8173581779333,1308.1270407295794,1311.2379056472769,1315.7548459739066,1320.8419685238541,1324.2740507463056,1328.6122020718306,1331.1108509656501,1336.5218655246722,1348.1438876147133,1365.4063678021723,1386.951628313436,1404.9907782423797,1423.8593010191832,1439.83751758401,1452.5141380508585,1463.039080850341,1471.3246745524139,1479.0375193103007,1488.3605281943217,1496.0934804625435,1505.342620236006,1511.3601447268838,1518.416971574516,1524.107907375343,1527.8156107351624,1529.7263346088043,1530.5243314207005,1531.4583068851093,1535.2249685037777,1541.3807963885224,1547.7384394629207,1555.1149413580777,1557.0755641002302,1560.8087107373342,1563.039232752944,1564.7896054670439,1564.4192353458445,1563.273979956123,1564.803782767443,1567.6300373871259,1571.2924344704934,1574.1757381656719,1575.8683986354727,1573.9761034680917,1577.1123819268616,1581.2323551974623,1588.5585023624155,1590.2965487623287,1593.4621242393605,1595.4691939229974,1600.2309096616582,1603.6852350172062,1605.0689537141648,1605.4309673474668,1605.8420564957335,1608.223270320572,1608.3783678797486,1606.9390234250225,1602.99389859407,1603.4414355049025,1603.6373592471246,1604.9092030799834,1602.5198065272698
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,928.3707089925873,939.5927995065983,943.7037240995094,952.7563458186986,952.8494792925205,958.7138268597109,960.0756778319892,963.4484030982111,968.5157881748646,974.3651395066115,980.4751555466346,985.4211235406227,990.8985777438054,991.6485490227226,994.5231520279632,996.2731630246726,1002.773647408374,1007.9854689946679,1013.5194945176809,1018.3084740723574,1021.7379146542775,1025.0538155747338,1029.24635817684,1033.2677106335582,1039.79143396862,1045.5479258663145,1053.1598804276086,1057.1024153183876,1064.0735180940803,1068.2187658512526,1074.1344198867755,1078.6460208759133,1084.391953465547,1090.1781897790179,1095.7048418407833,1100.848455771348,1106.2840587984592,1110.9258158119624,1118.6294246473954,1126.0292060417707,1133.5296170654817,1139.8987053541184,1147.5048171349397,1155.5742500089982,1164.404081880636,1172.7929302674552,1181.4320743948258,1189.2187079494208,1194.3341893090987,1202.835301783237,1208.6589083871725,1217.1284170294662,1223.5009021993458,1232.7481075402488,1240.4808810133645,1249.0430981883185,1256.9625116670913,1265.5752574537717,1274.2756830216492,1284.344283297409,1296.224984802988,1306.602840843508,1309.1960861209147,1307.1726601536316,1303.6371764476467,1303.1058444905123,1310.7188610037158,1322.286194701865,1337.6367175520027,1354.6791874661774,1372.1480823943677,1387.1372393174581,1403.279317124371,1418.2691282789226,1439.3688328629198,1466.8653395655156,1504.2509076917684,1545.4315436744723,1586.1269845438005,1624.03168867797,1656.2170519882648,1682.382121162756,1701.3905782347379,1717.7027051865643,1731.2803370148144,1743.3938805372613,1752.4922073755354,1760.726318191239,1764.0531528869753,1765.6482140895787,1762.2202043841817,1757.5911403828945,1750.9963561303562,1746.9630734818725,1745.7776904225784,1748.3593311727116,1748.0819232559518,1750.3122957831472,1756.6601607655864,1759.2516121112058,1759.7826209605723,1754.5262073527247,1754.3430914299713,1752.8020875984412,1752.19843020605,1750.9566485341,1751.1048470457547,1750.8331615696388,1752.9831407315367,1754.360265386476,1754.5587354892455,1756.3688035359253,1759.237875700801,1761.8222244201907,1761.9730227835348,1762.7743389353825,1763.9067784190872,1763.615759100825,1764.686508271736,1764.296487807514,1763.3547776305506,1761.6199287760344,1758.766008932353,1755.9780385082045,1753.6208904923926,1754.036895814382,1754.5769946367236,1755.2067810483493,1755.3143288423882,1756.1046652390871
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1660.2000596905893,1669.0063195439516,1675.1778925899125,1675.9133757807363,1680.8068959245284,1685.5640281356218,1698.1061830524088,1709.3746531949873,1720.5632358636467,1730.2336264033522,1736.4748453637974,1746.7898513271796,1752.8271674301052,1758.3556533476576,1763.7420613457512,1771.308487809075,1778.6972734819083,1789.8656988975245,1797.5836685607298,1805.6160651433727,1812.2512447612676,1821.152408790705,1830.1480933203259,1836.914437982782,1843.9447030793792,1856.6882774860417,1871.6179528721443,1886.8111405999273,1895.9712281497245,1903.1692037498347,1910.4460068906023,1916.781359194546,1923.3710171709129,1929.9111052157689,1938.6132507391721,1945.4066871613686,1956.577818309774,1965.9683846043213,1976.3016260724635,1982.9168563178737,1992.1322128637455,1998.9158480819428,2005.6989923809135,2013.095248426054,2022.1959968584588,2029.14058436064,2032.3246141200402,2039.2376026086308,2044.879133008399,2051.445771249807,2053.3483810869006,2057.8092190348566,2063.2381740922942,2070.676410431494,2078.461125363432,2086.0944812611206,2092.4286564344275,2099.911016130704,2109.1982183337927,2116.863245437921,2123.38497272749,2128.9385838035637,2129.393222058989,2120.8020173079767,2110.5592961164257,2104.812288336125,2107.557278498307,2111.050022620536,2120.4604760051584,2139.1109857012384,2161.298191092633,2179.8036740732687,2193.622128789459,2207.8383221566432,2224.490659545975,2250.38176925517,2281.004380177087,2313.0185177670364,2352.593414553372,2397.1727820484016,2448.5562342183116,2487.213648004652,2522.5011766510765,2551.8846217323653,2584.0348814951035,2615.76402474493,2644.018652216635,2677.5011391091352,2708.0399310025796,2741.300437881813,2760.3685455524073,2778.691352072088,2783.0800279672553,2788.997791493558,2787.3432324166088,2794.8982192601306,2801.0553455785766,2810.9257789109365,2828.3369755566987,2845.7066554809185,2864.2441339503803,2872.9772601393797,2880.5184500830524,2882.536521130255,2883.346101938392,2881.361796908703,2876.7936169176983,2875.793602351881,2877.366123711085,2886.1656707321977,2891.991600767611,2899.3065543075886,2903.3417177127144,2907.5645485206164,2913.051017698641,2913.8563199979076,2919.8433952708833,2928.5239742697663,2947.945509491888,2960.1465469159816,2969.3019398202314,2969.9773114791737,2969.014652560089,2964.7987662015926,2962.529382189635,2963.8215983725145,2966.8957927713273,2975.4460439918216,2982.3126969532714,2987.4631061797795
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1891.3820233617985,1899.3393214461153,1909.4428116248064,1919.622126540447,1924.10618343875,1929.3528232674296,1936.5073330828095,1950.2567390341203,1958.5570513263385,1969.5804908077541,1974.316955694546,1983.7229950677456,1991.0240232895578,1998.205953345262,1998.92223491447,2001.8727429263724,2011.0521008194414,2022.1351003613065,2030.1982256106903,2033.0811498412033,2040.9659179752946,2044.2254361698647,2054.610801109227,2055.9233739798556,2066.818144809954,2077.402551744083,2095.749629763286,2108.8815925143467,2112.484632611573,2117.7891332273284,2122.1319525210397,2131.0140045674593,2137.3613646918234,2140.448695468988,2146.9545448767053,2154.1279450384254,2164.2925452257814,2167.7149653236593,2171.5702103854937,2175.7680680671983,2179.4913497626962,2183.761939032817,2186.7025669490718,2191.571459445356,2197.3587951951768,2206.4983384570814,2211.892662273986,2218.098854957199,2219.454790403011,2225.7882975561247,2228.711754637737,2233.5118520163537,2242.1691450819385,2249.0999071263655,2258.0061047595036,2263.980719797093,2269.5306870290706,2274.934635567698,2280.2223633437843,2286.3392117937688,2292.837417394458,2299.0077861490454,2299.913239112982,2291.2981001344974,2279.718159463149,2268.923302334157,2264.7658044417567,2261.179105228727,2268.1519165812256,2283.9334649519556,2299.454537701632,2317.6226947193786,2336.3319696838316,2359.56965797378,2381.8947784447478,2406.484327487129,2437.2884220540604,2479.9861088873677,2537.0275679462675,2609.469153634847,2674.433942490668,2720.11218239369,2752.5932468561364,2779.463868107219,2807.757143840397,2834.143060450546,2862.2469511315094,2897.936119626151,2926.1709849331446,2946.543514443768,2945.4721855988564,2935.2194338808845,2922.9547239329795,2918.4979591876886,2924.511619287738,2925.6230483880486,2926.231637109733,2925.6933862561878,2936.3549311900388,2947.9871365235554,2961.315374073789,2970.5869942263425,2989.2499089518515,3002.0965515017983,3012.652872881894,3018.9704379280697,3024.1884731944115,3037.403377583008,3043.749309064789,3050.8595842690224,3046.2050693650626,3047.971725723598,3052.5262746525677,3061.701748106014,3072.986666455958,3080.4927385951833,3087.135074565074,3095.065065641869,3106.4471283404696,3113.9856787402055,3125.636664757544,3136.530887589769,3149.779040609803,3155.271604788036,3158.5831209786306,3161.1522018838823,3160.981682368445,3167.5805258501805,3176.1804802736365,3184.308535175002
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2353.0341005877144,2369.1383688742935,2388.5445212109457,2400.1492499700526,2408.2796383595382,2425.3611649015766,2429.3409785291624,2434.291401136462,2447.8087484432303,2465.3133393362145,2474.1805356665773,2470.747077384143,2473.009408428982,2477.8008853838237,2485.927589571165,2483.1426812141412,2482.363721228693,2481.434973748887,2488.36255048751,2497.5701298102217,2502.700376795986,2508.902375439007,2525.3406560642165,2534.896095746716,2535.1529514349763,2528.394393515782,2522.8652126371608,2529.9830385014143,2531.2033019079026,2536.956332941678,2541.9476172309032,2547.5874956293096,2547.3799193480886,2541.52923527558,2537.8993050454587,2546.210111070677,2555.421697122949,2560.441390345614,2562.3582246918327,2569.9243921925217,2576.6765414887964,2582.820431414617,2582.271452510225,2586.657424968989,2588.8544443258247,2593.3164072112118,2596.3630549021113,2599.6478908488716,2611.146811169138,2627.049746505088,2641.0884745081516,2647.662381328894,2657.9615717506117,2666.8432981130477,2680.78058188996,2690.893179919731,2707.005932408269,2724.7041051393107,2741.514648791069,2754.7512699689014,2763.7212958586792,2773.5988736607583,2766.226769876786,2748.111737993497,2717.6037824832965,2677.2440712146868,2642.116885458221,2602.285639722664,2561.8551073357585,2533.4692264376295,2519.2949981902507,2519.6845175971243,2518.1361112717586,2522.646394154432,2529.3711592961677,2552.017461315537,2577.6532167823816,2616.948517148705,2657.526685120207,2707.347897302497,2761.488671530615,2809.0027174744355,2859.9639373293016,2898.5345130622404,2941.693908568988,2975.2060284199197,3012.339143420344,3042.762353632302,3082.801086742849,3121.194392894977,3159.367465082766,3189.6512045461404,3208.0664168778376,3225.9905903393524,3225.4898827429765,3228.665152758179,3234.519282188646,3242.1885627799825,3248.5093673468073,3258.797891601567,3271.6720850467336,3283.660326307998,3290.6988595577745,3300.669095646351,3318.92966427226,3329.976135418186,3336.0199136781475,3349.4751732110026,3364.4313246443476,3380.5736490865297,3386.4412676867432,3389.3918763247343,3399.109610663672,3403.6811384579746,3409.4156090077754,3407.318815937117,3413.543992768965,3422.3905673618883,3441.8075951062356,3455.653014667724,3465.4556802753,3474.814376376126,3491.3873105726493,3508.8155122770227,3517.385720949432,3530.359019285244,3545.1931961488867,3566.349551458279,3579.5553121479425,3594.9904921862776
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1602.5037655212445,1612.7970236987414,1622.477718724338,1631.2018693797004,1638.1870609099112,1644.4313664338542,1651.2117037797184,1659.2317435358734,1666.3078896169632,1669.424938763123,1678.2938622360018,1687.7754952696455,1694.5480385743595,1696.3295283223827,1694.6491958744255,1694.181019329349,1691.8281606816229,1690.565532817745,1690.652191197671,1688.8210863846762,1688.050823967299,1687.4013498192219,1687.2585305387915,1684.905932896555,1688.4134888946624,1692.4919155568064,1700.384594681241,1701.061010052236,1702.8390050349717,1704.301375453553,1706.052891576107,1709.5721332948558,1712.7847873024411,1716.6976900944017,1716.979078773415,1719.3859092019313,1722.016042829213,1727.169399707873,1729.5425412947768,1734.1137034808085,1735.6779723552438,1740.71992935578,1746.117471603847,1752.8166813781145,1757.395447239988,1759.9456647229424,1760.7928446834496,1762.7904902407165,1765.6410529324187,1766.1643082398057,1767.6480061167563,1771.0231093655873,1776.908357573237,1780.3291030731395,1783.3406718545882,1785.0739244392398,1788.7163774379528,1793.932449046602,1802.3253400835035,1809.6353151169849,1815.5412277573132,1822.5022459033942,1816.6850568346206,1808.1958965898148,1796.5997515978395,1790.183498310257,1789.5373034191757,1790.2892898029177,1791.1246122163968,1799.340384467152,1814.855460232914,1832.3863250436352,1856.6992894261232,1886.8850662668024,1920.5208310169578,1957.5953232107038,2000.689636111727,,2118.472686766678,2181.855583538669,2241.683199911441,2291.805024969733,2340.2384364513055,2392.9686566917235,2441.3189236881854,2492.9455259979773,2539.2313665961624,2590.558081137376,2634.0706202418687,2665.894154629177,2686.0337349227325,2698.3143721673723,2712.473384250672,2719.7009487148566,2723.6576517075478,2727.1564604318087,2732.044049674998,2732.0652192019597,2734.1815369264705,2736.2424545254316,2737.58894834804,2735.094032921056,2730.732154529264,2731.8900599020812,2733.3614219314713,2742.44296635346,2751.4186833784106,2754.332587995617,2755.256542470855,2759.2042091616763,2768.8080963023203,2777.0640783332856,2781.2734024256742,2784.9029199733236,2789.021873979532,2795.521140555411,2802.4514510001222,2806.7847799351407,2810.752070710403,2816.641221615393,2822.264694208177,2825.24454478608,2822.2622215634337,2817.587725949096,2816.2104392204446,2817.583863381742,2819.9404126906966,2817.7565291559013,2813.1502946907417,2806.8535269185127
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1043.4524538666067,1045.7599983926689,1050.7217624536459,1059.8247273420182,1067.3679139286312,1071.8629274392588,1078.2570949358105,1082.9073521871433,1089.9068829248938,1093.2373023615885,1100.2268413888332,1105.5910421699357,1112.150433260538,1118.178917646838,1123.2062258580513,1128.8383192254214,1131.576643743377,1137.5495001018658,1140.3676737143549,1146.57412490905,1151.025730309393,1161.0724632087317,1163.9821313350258,1170.589346399525,1177.6278629261105,1182.6979780033005,1190.9060514862188,1194.6116757990837,1204.5841374782067,1205.3464972387142,1209.6133272342872,1210.6974013731844,1216.1803604384033,1216.9726761205518,1226.8258424881726,1232.5044001001304,1236.8917566068824,1242.0100058629375,1241.411476828239,1242.6283803447652,1239.581213627965,1245.3396470073612,1251.0756920438048,1256.0891770539215,1255.4715098729844,1260.4077235259088,1264.7983965072751,1272.397341932496,1276.1065633670435,1276.5258164408122,1282.565744183335,1288.907012512956,1295.771312380588,1299.4589264090966,1301.6747243678708,1305.001450854044,1310.4833664621156,1312.6162625757865,1311.8162787593512,1309.6045085182534,1310.598661721055,1313.8288314144154,1321.6042318066,1318.0589403794233,1312.1918977385267,1302.2740540519085,1298.5204295705973,1297.797456263666,1301.8058250292986,1308.8485372351236,1315.2755974751285,1325.5011710912204,1332.3492554520492,1343.7472585079797,1351.4034036300773,1366.659719544133,1384.2037648206351,1406.8470898423486,1432.8465505153222,1460.0597797457378,1485.833327886856,1506.2397376121069,1524.5598372268253,1541.5088859676816,1557.7198341242065,1572.2008619448543,1583.5098419341152,1598.316700055447,1614.0239582941408,1634.5366235918514,1645.3846161843323,1648.8065641420808,1646.3329438930803,1641.5387490572482,1639.7994859516625,1638.5892734089468,1640.5367639885383,1641.5226183552302,1648.312879010744,1649.2721637306079,1650.545990609729,1644.5553246371267,1643.3795371215447,1641.5370401844332,1641.400548875562,1641.6940541655115,1642.1629637812405,1641.0715957589082,1641.0721826518454,1639.601330609973,1636.185546626058,1632.98782372088,1632.992885071156,1635.1766698164595,1638.3428893665719,1641.441609473971,1641.8308072242107,1643.147034204728,1645.8556405895995,1648.8853807803418,1649.2450900726142,1650.7884419561528,1651.3024556531082,1652.9760793911546,1651.4448030324368,1650.2022734167558,1647.4316768149358,1646.0028474829815,1646.53989842082,1646.299157503446
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1353.2888998614253,1355.4887222203326,1359.3621205434329,1366.8043642086604,1372.7966532871944,1380.7209190945216,1386.5628809052798,1392.8118791032534,1397.955677933121,1406.968738846843,1412.8744595890134,1421.3091534096995,1421.6825843024192,1429.144351597025,1431.2829720982563,1432.93578960394,1437.8019177909346,1441.1786562894313,1449.7531165046125,1453.6805427918544,1464.8736608800364,1468.8832610577376,1477.5861313024589,1480.4132102895096,1496.551509567308,1504.815307622321,1516.221332519962,1526.7034320216708,1536.9080167910931,1547.2376059179996,1551.3878050178696,1561.4300382241977,1567.254263875943,1573.9192825071043,1579.728364884741,1584.8383818483596,1593.5371687764703,1604.0824744235001,1614.4843521082382,1618.255828301179,1620.219470669052,1627.5796552632999,1635.8591822872177,1644.086247752946,1653.2850549970424,1664.9713249164436,1674.0343209031837,1683.8217627849235,1686.9844204862295,1689.25368043982,1693.3800500551235,1703.2293249315082,1713.9953580713527,1720.7507237444845,1728.8596968733211,1734.9683863502075,1740.8285474471197,1745.720693101979,1752.2169338556143,1759.7562679156376,1767.9974474993141,1777.5318861725689,1776.9781678798915,1779.9516579443375,1777.3208602445254,1787.0513468553659,1799.6839979241936,1822.2946975669981,1843.9484109314542,1871.3247078086267,1897.824742699994,1925.6995684813471,1951.6381563426282,1977.1681443272978,2002.5680110362237,2023.8947217174155,2061.1880937309875,2096.4911214269882,2140.5727255476645,2175.1730809520304,2210.0378936772845,2233.9495187368943,2260.433270479656,2275.1126264398645,2302.464886014884,2318.614458025323,2346.143936100747,2370.690240154039,2388.962562351882,2406.3228644232636,2411.5370466459426,2414.547224784607,2415.7118110987462,2413.9538659485074,2412.6117266053907,2413.989933263026,2416.6135325802857,2424.405883759738,2430.4644360894285,2441.5044580898307,2444.945251330323,2443.3965776298783,2440.797816993356,2446.554574826028,2449.328185657121,2465.9227288880884,2470.325087275538,2475.90676920706,2467.287619590369,2478.4343159441905,2488.8670354287947,2500.5147297872463,2504.740078771814,2508.897920644613,2521.979253954401,2527.7062092261904,2539.864113151354,2539.9491930377662,2550.56061503045,2560.3425283236634,2576.9267782515417,2577.14642168302,2575.61308769118,2570.7434807706063,2575.4215393035547,2582.2166839723022,2584.088870856219,2587.472771527982,2586.8112988070557,2588.5255384055763
