jurisdiction,count_American_Indian_Alaska_Native,percent_American_Indian_Alaska_Native,count_Asian,percent_Asian,count_Hispanic,percent_Hispanic,count_Native_Hawaiian_Pacific_Islander,percent_Native_Hawaiian_Pacific_Islander,count_Black,percent_Black,count_White,percent_White
Columbus,2067,3.70%,3222,3.10%,3038,5.50%,48,0.10%,16698,30.00%,"32,976",59.30%
Craven,670,0.70%,9438,2.80%,7590,7.40%,193,0.20%,21460,20.90%,"67,590",65.70%
Cumberland,6134,1.80%,201,0.70%,39430,11.90%,1296,0.40%,123373,37.10%,"141,651",42.60%
Currituck,184,0.70%,290,0.80%,1073,4.00%,21,0.10%,1498,5.50%,"23,641",87.30%
Dare,204,0.60%,2729,1.60%,2666,7.30%,22,0.10%,882,2.40%,"31,945",87.50%
Davidson,1298,0.80%,358,0.80%,12182,7.30%,111,0.10%,15816,9.50%,"132,803",79.70%
Davie,296,0.70%,449,0.80%,2995,7.00%,10,0.00%,2668,6.20%,"35,911",84.00%
Duplin,821,1.40%,17398,5.50%,13355,22.70%,249,0.40%,14250,24.20%,"30,192",51.30%
Durham,2902,0.90%,164,0.30%,43428,13.70%,335,0.10%,113927,36.00%,"134,987",42.60%
Edgecombe,405,0.80%,9767,2.60%,2482,4.80%,67,0.10%,29763,57.20%,"18,868",36.30%
Forsyth,3255,0.90%,471,0.70%,49428,13.00%,474,0.10%,97867,25.80%,"214,299",56.50%
Franklin,635,0.90%,3642,1.60%,5763,8.50%,53,0.10%,17019,25.20%,"42,888",63.50%
Gaston,1309,0.60%,43,0.40%,16180,7.30%,154,0.10%,37921,17.00%,"160,046",71.80%
Gates,66,0.60%,47,0.60%,263,2.30%,12,0.10%,3586,31.00%,"7,383",63.80%
Graham,679,8.00%,411,0.70%,319,3.80%,9,0.10%,37,0.40%,"7,292",86.00%
Granville,505,0.80%,127,0.60%,4916,8.20%,59,0.10%,18843,31.30%,"34,868",58.00%
Greene,477,2.30%,28622,5.40%,3264,15.50%,55,0.30%,7500,35.70%,"9,825",46.80%
Guilford,4066,0.80%,443,0.90%,43496,8.20%,506,0.10%,182350,34.20%,"265,975",49.80%
Halifax,2028,4.00%,1788,1.30%,1551,3.10%,36,0.10%,26857,53.10%,"19,298",38.20%
Harnett,2290,1.70%,346,0.60%,17464,13.00%,283,0.20%,28021,20.90%,"81,962",61.10%
Haywood,414,0.70%,1520,1.30%,2518,4.10%,31,0.10%,764,1.20%,"57,340",92.50%
Henderson,804,0.70%,180,0.80%,12112,10.40%,257,0.20%,3702,3.20%,"96,996",83.10%
Hertford,304,1.30%,812,1.50%,909,3.80%,12,0.10%,14256,60.30%,"7,808",33.00%
Hoke,4992,9.10%,43,0.80%,7451,13.60%,225,0.40%,18457,33.70%,"21,532",39.30%
Hyde,44,0.80%,4836,2.70%,479,9.20%,1,0.00%,1488,28.50%,"3,135",59.90%
Iredell,985,0.60%,453,1.00%,13935,7.80%,108,0.10%,21039,11.80%,"135,235",75.80%
Jackson,3915,9.00%,1832,0.90%,2543,5.90%,19,0.00%,914,2.10%,"35,122",81.10%
Johnston,1891,0.90%,47,0.50%,28310,14.00%,225,0.10%,32092,15.80%,"136,250",67.20%
Jones,97,1.00%,877,1.40%,493,5.10%,4,0.00%,2864,29.70%,"5,988",62.10%
Lee,783,1.30%,450,0.80%,12006,19.50%,103,0.20%,11747,19.10%,"35,510",57.80%
Lenoir,359,0.60%,626,0.70%,4220,7.50%,102,0.20%,22909,40.90%,"27,535",49.20%
Lincoln,387,0.50%,366,1.00%,5999,7.20%,44,0.10%,4525,5.40%,"71,232",85.00%
Macon,290,0.80%,109,0.50%,2541,7.20%,20,0.10%,452,1.30%,"31,403",89.00%
Madison,115,0.50%,127,0.60%,526,2.40%,10,0.00%,312,1.40%,"20,432",93.90%
Martin,111,0.50%,511,1.10%,943,4.20%,43,0.20%,9459,41.70%,"11,804",52.10%
McDowell,379,0.80%,69595,6.40%,2849,6.30%,24,0.10%,1693,3.70%,"39,750",87.30%
Mecklenburg,8553,0.80%,100,0.70%,148351,13.60%,1126,0.10%,344243,31.50%,"507,637",46.40%
Mitchell,138,0.90%,433,1.60%,870,5.80%,26,0.20%,69,0.50%,"13,768",91.80%
Montgomery,291,1.10%,1548,1.60%,4209,15.40%,16,0.10%,4992,18.30%,"17,204",63.10%
Moore,917,0.90%,970,1.00%,6709,6.80%,166,0.20%,11714,11.90%,"76,232",77.30%
Nash,939,1.00%,3627,1.60%,6658,7.10%,76,0.10%,38013,40.40%,"46,418",49.40%
New Hanover,1307,0.60%,58,0.30%,13024,5.60%,260,0.10%,30748,13.20%,"179,674",77.40%
Northampton,126,0.60%,4282,2.20%,451,2.30%,6,0.00%,11189,56.90%,"7,647",38.90%
Onslow,1877,0.90%,12089,8.30%,25261,12.80%,616,0.30%,29184,14.80%,"130,276",65.90%
Orange,892,0.60%,74,0.60%,12583,8.60%,104,0.10%,16619,11.40%,"101,106",69.20%
Pamlico,99,0.80%,636,1.60%,522,4.10%,25,0.20%,2382,18.80%,"9,408",74.30%
Pasquotank,241,0.60%,421,0.70%,2257,5.70%,34,0.10%,14194,35.80%,"21,601",54.50%
Pender,559,0.90%,72,0.50%,4605,7.40%,54,0.10%,9100,14.60%,"46,744",75.20%
Perquimans,75,0.60%,176,0.40%,354,2.60%,2,0.00%,3055,22.80%,"9,696",72.20%
Person,351,0.90%,3938,2.20%,1757,4.40%,10,0.00%,10559,26.70%,"26,105",66.10%
Pitt,936,0.50%,136,0.70%,11420,6.30%,271,0.20%,62987,35.00%,"97,777",54.30%
Polk,128,0.60%,2128,1.50%,1248,6.10%,2,0.00%,859,4.20%,"18,066",87.70%
Randolph,1613,1.10%,411,0.90%,16774,11.70%,144,0.10%,8862,6.20%,"112,950",78.80%
Richmond,1444,3.20%,877,0.70%,3007,6.70%,69,0.20%,14052,31.30%,"25,421",56.60%
Robeson,54971,41.70%,609,0.70%,11874,9.00%,204,0.20%,30625,23.20%,"33,023",25.00%
Rockingham,549,0.60%,1790,1.30%,5661,6.20%,96,0.10%,16834,18.60%,"65,607",72.30%
Rowan,897,0.60%,472,0.70%,12997,9.20%,117,0.10%,22779,16.10%,"101,224",71.70%
Rutherford,253,0.40%,449,0.70%,3049,4.60%,43,0.10%,6424,9.60%,"55,473",83.00%
Sampson,2287,3.60%,312,0.90%,12993,20.40%,187,0.30%,16027,25.20%,"32,024",50.30%
Scotland,4303,12.40%,1348,2.20%,1068,3.10%,17,0.00%,13445,38.60%,"15,032",43.20%
Stanly,284,0.50%,188,0.40%,2710,4.40%,164,0.30%,6967,11.20%,"50,047",80.60%
Stokes,219,0.50%,522,0.70%,1396,3.10%,15,0.00%,1744,3.80%,"41,454",91.20%
Surry,472,0.70%,100,0.70%,7764,10.80%,63,0.10%,2632,3.70%,"60,163",83.60%
Swain,4251,29.80%,231,0.70%,790,5.50%,5,0.00%,152,1.10%,"8,736",61.30%
Transylvania,149,0.40%,90,2.20%,1184,3.50%,19,0.10%,1198,3.50%,"30,875",90.20%
Tyrrell,43,1.00%,7903,3.40%,372,9.00%,1,0.00%,1540,37.30%,"2,044",49.50%
Union,1515,0.60%,360,0.80%,26958,11.40%,172,0.10%,27539,11.70%,"168,967",71.60%
Vance,401,0.90%,82383,7.50%,3555,8.00%,26,0.10%,22523,50.50%,"17,476",39.20%
Wake,8670,0.80%,76,0.40%,112797,10.30%,921,0.10%,218080,20.00%,"653,485",59.80%
Warren,1112,5.60%,45,0.40%,753,3.80%,5,0.00%,10029,50.60%,"7,575",38.20%
Washington,115,1.00%,665,1.20%,693,5.80%,3,0.00%,5684,47.90%,"5,257",44.30%
Watauga,226,0.40%,1660,1.30%,2097,3.70%,20,0.00%,964,1.70%,"51,263",91.60%
Wayne,1036,0.80%,404,0.60%,15212,12.30%,197,0.20%,38201,31.00%,"65,442",53.10%
Wilkes,273,0.40%,987,1.20%,4637,6.80%,61,0.10%,2972,4.30%,"59,602",86.90%
Wilson,501,0.60%,180,0.50%,8793,10.80%,114,0.10%,32153,39.50%,"38,278",47.00%
Yadkin,257,0.70%,58,0.30%,4192,11.20%,47,0.10%,1156,3.10%,"31,583",84.10%
Yancey,139,0.80%,,,976,5.50%,50,0.30%,152,0.80%,"16,498",92.20%
