jurisdiction,count_American_Indian_Alaska_Native,percent_American_Indian_Alaska_Native,count_Asian,percent_Asian,count_Hispanic,percent_Hispanic,count_Native_Hawaiian_Pacific_Islander,percent_Native_Hawaiian_Pacific_Islander,count_Black,percent_Black,count_White,percent_White
Alamance,2373,1.40%,386,1.00%,21499,12.90%,138,0.10%,33111,19.90%,"105,484",63.40%
Alexander,199,0.50%,93,0.80%,1801,4.80%,18,0.00%,2145,5.70%,"32,336",86.60%
Alleghany,64,0.60%,366,1.50%,1109,9.90%,5,0.00%,174,1.60%,"9,643",86.40%
Anson,239,1.00%,152,0.60%,1074,4.30%,17,0.10%,11996,48.20%,"10,991",44.20%
Ashe,115,0.40%,97,0.60%,1406,5.20%,15,0.10%,201,0.70%,"25,000",92.20%
Avery,107,0.60%,258,0.50%,909,5.20%,14,0.10%,773,4.40%,"15,484",88.50%
Beaufort,500,1.10%,151,0.80%,3769,8.00%,35,0.10%,11463,24.30%,"30,911",65.70%
Bertie,131,0.70%,116,0.30%,426,2.20%,21,0.10%,11554,60.70%,"6,605",34.70%
Bladen,1004,3.00%,1083,0.80%,2574,7.80%,13,0.00%,11122,33.50%,"18,180",54.80%
Brunswick,1139,0.80%,3719,1.40%,6664,4.90%,139,0.10%,13699,10.00%,"112,265",82.10%
Buncombe,1344,0.50%,3365,3.70%,17326,6.70%,404,0.20%,15624,6.00%,"216,363",83.50%
Burke,829,0.90%,9251,4.40%,5648,6.20%,624,0.70%,6027,6.70%,"73,587",81.40%
Cabarrus,1507,0.70%,600,0.70%,22786,10.80%,211,0.10%,38046,18.00%,"136,604",64.60%
Caldwell,523,0.60%,235,2.20%,4644,5.70%,79,0.10%,3914,4.80%,"71,424",87.10%
Camden,59,0.60%,911,1.30%,317,3.00%,10,0.10%,1243,11.60%,"8,599",80.30%
Carteret,435,0.60%,134,0.60%,2965,4.30%,115,0.20%,3817,5.50%,"60,138",86.50%
Caswell,165,0.70%,6995,4.40%,944,4.20%,5,0.00%,7245,31.90%,"13,876",61.10%
Catawba,963,0.60%,1580,2.20%,15748,9.90%,168,0.10%,13454,8.50%,"119,443",75.30%
Chatham,875,1.20%,204,0.70%,9011,12.30%,88,0.10%,8781,12.00%,"52,521",71.80%
Cherokee,438,1.50%,113,0.80%,936,3.30%,25,0.10%,414,1.50%,"25,816",91.00%
Chowan,62,0.40%,40,0.40%,518,3.70%,33,0.20%,4769,34.00%,"8,403",59.90%
Clay,69,0.60%,1013,1.00%,405,3.60%,6,0.10%,128,1.10%,"10,344",92.90%
Cleveland,368,0.40%,335,0.60%,3572,3.70%,31,0.00%,20162,20.60%,"71,158",72.90%
