month_start_date,jurisdiction,filings_count,percent_of_historical_average
6/1/2021,Forsyth,295,33.02
7/1/2021,Forsyth,350,35.94
8/1/2021,Forsyth,439,46.36
9/1/2021,Forsyth,742,81.99
10/1/2021,Forsyth,630,68.08
11/1/2021,Forsyth,617,78.02
12/1/2021,Forsyth,530,61.99
1/1/2022,Forsyth,817,85.13
2/1/2022,Forsyth,764,94
3/1/2022,Forsyth,626,94.56
4/1/2022,Forsyth,707,94.87
5/1/2022,Forsyth,826,92.97
6/1/2022,Forsyth,878,98.27
7/1/2022,Forsyth,747,76.71
8/1/2022,Forsyth,941,99.37
9/1/2022,Forsyth,826,91.27
10/1/2022,Forsyth,904,97.69
11/1/2022,Forsyth,855,108.12
12/1/2022,Forsyth,832,97.31
1/1/2023,Forsyth,987,102.84
2/1/2023,Forsyth,881,108.4
3/1/2023,Forsyth,717,108.31
4/1/2023,Forsyth,878,117.81
5/1/2023,Forsyth,880,99.04
6/1/2023,Forsyth,939,105.09
1/1/2020,Cumberland,976,114.45
2/1/2020,Cumberland,816,112.13
3/1/2020,Cumberland,410,71.27
4/1/2020,Cumberland,69,10.39
5/1/2020,Cumberland,173,22.32
6/1/2020,Cumberland,193,24.84
7/1/2020,Cumberland,314,35.77
8/1/2020,Cumberland,409,47.85
9/1/2020,Cumberland,733,95.37
10/1/2020,Cumberland,526,63.04
11/1/2020,Cumberland,208,29.22
12/1/2020,Cumberland,329,45.62
1/1/2021,Cumberland,214,25.1
2/1/2021,Cumberland,276,37.93
3/1/2021,Cumberland,305,53.02
4/1/2021,Cumberland,289,43.52
5/1/2021,Cumberland,264,34.06
6/1/2021,Cumberland,367,47.23
7/1/2021,Cumberland,365,41.58
8/1/2021,Cumberland,551,64.46
9/1/2021,Cumberland,582,75.72
10/1/2021,Cumberland,689,82.57
11/1/2021,Cumberland,510,71.65
12/1/2021,Cumberland,542,75.15
1/1/2022,Cumberland,660,77.4
2/1/2022,Cumberland,723,99.35
3/1/2022,Cumberland,555,96.48
4/1/2022,Cumberland,603,90.81
5/1/2022,Cumberland,705,90.97
6/1/2022,Cumberland,726,93.44
7/1/2022,Cumberland,720,82.02
8/1/2022,Cumberland,788,92.19
9/1/2022,Cumberland,691,89.9
10/1/2022,Cumberland,818,98.03
11/1/2022,Cumberland,612,85.98
12/1/2022,Cumberland,616,85.41
1/1/2023,Cumberland,806,94.52
2/1/2023,Cumberland,710,97.56
3/1/2023,Cumberland,716,124.47
4/1/2023,Cumberland,635,95.63
5/1/2023,Cumberland,743,95.87
6/1/2023,Cumberland,719,92.54
1/1/2020,Durham,800,83.97
2/1/2020,Durham,894,113.06
3/1/2020,Durham,414,65.38
4/1/2020,Durham,31,4.23
5/1/2020,Durham,38,4.74
6/1/2020,Durham,57,6.33
7/1/2020,Durham,264,28.52
8/1/2020,Durham,277,29.68
9/1/2020,Durham,370,43.24
10/1/2020,Durham,267,30.09
11/1/2020,Durham,186,23.9
12/1/2020,Durham,261,29.71
1/1/2021,Durham,175,18.37
2/1/2021,Durham,247,31.24
3/1/2021,Durham,182,28.74
4/1/2021,Durham,89,12.15
5/1/2021,Durham,147,18.32
6/1/2021,Durham,235,26.11
7/1/2021,Durham,181,19.55
8/1/2021,Durham,212,22.72
9/1/2021,Durham,336,39.27
10/1/2021,Durham,432,48.68
11/1/2021,Durham,456,58.6
12/1/2021,Durham,425,48.37
1/1/2022,Durham,526,55.21
