jurisdiction,count_American_Indian_Alaska_Native,percent_American_Indian_Alaska_Native,count_Asian,percent_Asian,count_Hispanic,percent_Hispanic,count_Native_Hawaiian_Pacific_Islander,percent_Native_Hawaiian_Pacific_Islander,count_Black,percent_Black,count_White,percent_White
Greene,467,2.20%,124,0.60%,3310,15.80%,61,0.30%,7385,35.30%,"9,788",46.80%
Guilford,4153,0.80%,29432,5.40%,46500,8.60%,593,0.10%,187364,34.70%,"263,136",48.70%
Halifax,1990,4.00%,426,0.90%,1602,3.20%,44,0.10%,26189,52.90%,"18,873",38.10%
Harnett,2358,1.70%,1819,1.30%,18607,13.60%,303,0.20%,28766,21.00%,"82,573",60.20%
Haywood,471,0.70%,458,0.70%,2806,4.50%,35,0.10%,765,1.20%,"57,819",91.80%
Henderson,840,0.70%,1613,1.40%,12374,10.40%,272,0.20%,3679,3.10%,"98,233",82.90%
Hertford,314,1.40%,215,0.90%,885,3.80%,14,0.10%,13885,60.10%,"7,612",32.90%
Hoke,4968,8.90%,816,1.50%,8127,14.60%,218,0.40%,18988,34.00%,"21,358",38.30%
Hyde,48,1.00%,41,0.80%,487,10.10%,1,0.00%,1284,26.50%,"2,956",61.00%
Iredell,1044,0.60%,5241,2.80%,15147,8.20%,148,0.10%,21879,11.80%,"139,538",75.10%
Jackson,3958,9.00%,515,1.20%,2783,6.30%,21,0.00%,934,2.10%,"35,531",80.70%
Johnston,2056,1.00%,2158,1.00%,31057,14.40%,288,0.10%,35384,16.40%,"142,931",66.10%
Jones,102,1.10%,59,0.60%,524,5.70%,4,0.00%,2639,28.50%,"5,790",62.60%
Lee,831,1.30%,958,1.50%,12465,20.00%,121,0.20%,11593,18.60%,"35,881",57.50%
Lenoir,363,0.70%,405,0.70%,4504,8.10%,116,0.20%,22787,40.90%,"27,093",48.60%
Lincoln,431,0.50%,762,0.90%,6451,7.30%,50,0.10%,4731,5.40%,"74,679",84.80%
Macon,291,0.80%,400,1.10%,2742,7.60%,21,0.10%,508,1.40%,"31,791",88.30%
Madison,113,0.50%,117,0.50%,558,2.60%,10,0.00%,285,1.30%,"20,391",93.80%
Martin,150,0.70%,133,0.60%,968,4.40%,50,0.20%,9179,41.40%,"11,555",52.10%
McDowell,375,0.80%,521,1.10%,2883,6.30%,24,0.10%,1761,3.80%,"39,917",87.20%
Mecklenburg,9534,0.80%,74344,6.60%,156095,13.80%,1308,0.10%,355577,31.50%,"516,550",45.80%
Mitchell,147,1.00%,101,0.70%,877,5.90%,22,0.10%,97,0.70%,"13,604",91.40%
Montgomery,347,1.30%,457,1.70%,4263,15.70%,29,0.10%,4910,18.00%,"17,152",63.00%
Moore,1150,1.10%,1719,1.70%,7492,7.20%,194,0.20%,11827,11.40%,"79,567",77.00%
Nash,1033,1.10%,1047,1.10%,7052,7.40%,80,0.10%,39080,41.20%,"45,614",48.10%
New Hanover,1400,0.60%,3584,1.50%,14188,6.00%,293,0.10%,30090,12.70%,"183,254",77.40%
Northampton,126,0.70%,60,0.30%,504,2.60%,6,0.00%,10765,56.40%,"7,415",38.80%
Onslow,2002,1.00%,4579,2.20%,26934,13.20%,676,0.30%,29126,14.30%,"134,073",65.70%
Orange,938,0.60%,11985,8.00%,12853,8.60%,133,0.10%,16736,11.20%,"103,610",69.50%
Pamlico,97,0.80%,83,0.70%,540,4.20%,25,0.20%,2320,18.20%,"9,457",74.40%
Pasquotank,275,0.70%,566,1.40%,2492,6.20%,33,0.10%,14332,35.50%,"21,866",54.20%
Pender,623,1.00%,446,0.70%,4949,7.70%,57,0.10%,8949,13.80%,"48,908",75.60%
Perquimans,71,0.50%,74,0.50%,405,3.00%,2,0.00%,2994,21.90%,"9,943",72.80%
Person,356,0.90%,185,0.50%,1915,4.80%,9,0.00%,10508,26.30%,"26,328",65.90%
Pitt,976,0.50%,3769,2.10%,12138,6.60%,287,0.20%,64725,35.40%,"98,243",53.70%
Polk,141,0.70%,196,0.90%,1237,5.90%,5,0.00%,814,3.90%,"18,450",87.70%
Randolph,1675,1.20%,2336,1.60%,17713,12.30%,145,0.10%,9037,6.30%,"112,642",77.90%
Richmond,1420,3.20%,444,1.00%,3094,7.00%,79,0.20%,13937,31.40%,"24,809",56.00%
Robeson,54848,42.20%,856,0.70%,11960,9.20%,280,0.20%,29934,23.00%,"31,718",24.40%
Rockingham,566,0.60%,645,0.70%,5823,6.40%,122,0.10%,16934,18.60%,"65,684",72.00%
Rowan,927,0.70%,1634,1.10%,13721,9.60%,167,0.10%,23069,16.20%,"101,293",71.10%
Rutherford,270,0.40%,432,0.60%,3269,4.90%,47,0.10%,6472,9.60%,"55,444",82.70%
Sampson,2499,3.90%,408,0.60%,13332,21.00%,214,0.30%,15774,24.90%,"31,723",50.10%
Scotland,4505,13.00%,330,1.00%,1212,3.50%,24,0.10%,13356,38.60%,"14,601",42.20%
Stanly,308,0.50%,1239,2.00%,2929,4.60%,166,0.30%,7000,11.10%,"51,029",80.70%
Stokes,225,0.50%,193,0.40%,1586,3.50%,17,0.00%,1783,3.90%,"41,445",90.60%
Surry,481,0.70%,567,0.80%,8198,11.40%,75,0.10%,2655,3.70%,"59,396",82.90%
Swain,4328,30.50%,104,0.70%,924,6.50%,8,0.10%,161,1.10%,"8,532",60.20%
Transylvania,157,0.50%,221,0.60%,1186,3.40%,24,0.10%,1175,3.40%,"31,132",90.20%
Tyrrell,40,1.10%,67,1.80%,390,10.30%,0,0.00%,1280,33.90%,"1,941",51.40%
Union,1608,0.70%,9578,3.90%,28623,11.70%,207,0.10%,28785,11.80%,"172,572",70.60%
Vance,414,0.90%,390,0.90%,3771,8.40%,28,0.10%,22695,50.80%,"17,173",38.40%
Wake,8853,0.80%,91685,8.10%,117123,10.30%,1029,0.10%,224084,19.80%,"671,183",59.30%
Warren,1140,5.80%,79,0.40%,803,4.10%,6,0.00%,9760,50.00%,"7,497",38.40%
Washington,119,1.00%,51,0.40%,691,6.00%,4,0.00%,5487,47.80%,"5,037",43.90%
Watauga,232,0.40%,699,1.20%,2289,4.10%,27,0.00%,948,1.70%,"51,532",91.30%
Wayne,1053,0.80%,1647,1.30%,15842,12.80%,221,0.20%,38675,31.20%,"64,628",52.10%
Wilkes,285,0.40%,391,0.60%,4694,6.90%,77,0.10%,2901,4.30%,"59,049",86.80%
Wilson,566,0.70%,1023,1.20%,8978,11.00%,116,0.10%,32377,39.50%,"38,147",46.50%
Yadkin,272,0.70%,212,0.60%,4322,11.50%,67,0.20%,1147,3.00%,"31,496",83.70%
Yancey,146,0.80%,64,0.40%,966,5.30%,53,0.30%,160,0.90%,"16,670",92.10%
