jurisdiction,count_American_Indian_Alaska_Native,percent_American_Indian_Alaska_Native,count_Asian,percent_Asian,count_Hispanic,percent_Hispanic,count_Native_Hawaiian_Pacific_Islander,percent_Native_Hawaiian_Pacific_Islander,count_Black,percent_Black,count_White,percent_White
Alamance,2471,1.40%,3219,1.90%,22699,13.20%,185,0.10%,35367,20.60%,"106,377",62.10%
Alexander,202,0.50%,392,1.00%,1846,4.90%,20,0.10%,2140,5.70%,"32,413",86.60%
Alleghany,64,0.60%,89,0.80%,1097,9.80%,7,0.10%,171,1.50%,"9,694",86.60%
Anson,213,0.90%,377,1.60%,1051,4.40%,15,0.10%,11448,47.50%,"10,744",44.60%
Ashe,131,0.50%,134,0.50%,1396,5.10%,20,0.10%,204,0.80%,"25,067",92.30%
Avery,114,0.60%,115,0.70%,877,5.00%,13,0.10%,787,4.50%,"15,541",88.40%
Beaufort,528,1.10%,259,0.60%,3931,8.40%,36,0.10%,11054,23.50%,"31,140",66.20%
Bertie,143,0.80%,129,0.70%,424,2.30%,18,0.10%,11398,60.90%,"6,462",34.50%
Bladen,1036,3.10%,133,0.40%,2565,7.80%,14,0.00%,10861,33.00%,"18,089",55.00%
Brunswick,1204,0.80%,1151,0.80%,7396,5.00%,184,0.10%,14054,9.40%,"123,148",82.60%
Buncombe,1440,0.50%,3853,1.50%,18364,7.00%,445,0.20%,15589,5.90%,"219,328",83.20%
Burke,853,0.90%,3383,3.70%,5954,6.60%,631,0.70%,5869,6.50%,"73,450",81.20%
Cabarrus,1601,0.70%,11598,5.20%,24944,11.30%,220,0.10%,42497,19.20%,"137,256",62.00%
Caldwell,515,0.60%,637,0.80%,5001,6.10%,92,0.10%,3973,4.80%,"70,986",86.50%
Camden,54,0.50%,203,1.80%,362,3.30%,6,0.10%,1158,10.50%,"8,912",81.10%
Carteret,471,0.70%,835,1.20%,3140,4.50%,126,0.20%,3619,5.20%,"60,208",86.60%
Caswell,194,0.90%,144,0.60%,1049,4.70%,6,0.00%,7130,31.80%,"13,649",60.80%
Catawba,938,0.60%,7726,4.80%,16551,10.30%,240,0.10%,13483,8.40%,"119,250",74.40%
Chatham,920,1.20%,1759,2.30%,9120,12.00%,118,0.20%,8731,11.50%,"54,746",72.30%
Cherokee,474,1.60%,213,0.70%,1059,3.60%,15,0.10%,418,1.40%,"26,336",90.60%
Chowan,72,0.50%,114,0.80%,496,3.60%,32,0.20%,4653,33.70%,"8,319",60.20%
Clay,73,0.60%,50,0.40%,418,3.60%,5,0.00%,128,1.10%,"10,673",92.80%
Cleveland,423,0.40%,1106,1.10%,4000,4.00%,38,0.00%,20503,20.70%,"71,491",72.20%
Columbus,2087,3.80%,292,0.50%,3176,5.80%,51,0.10%,16253,29.70%,"32,423",59.20%
Craven,672,0.70%,3063,3.00%,7940,7.80%,219,0.20%,20891,20.60%,"66,128",65.30%
Cumberland,6295,1.90%,9143,2.70%,41625,12.40%,1520,0.50%,126288,37.50%,"139,754",41.50%
Currituck,226,0.80%,263,0.90%,1325,4.60%,25,0.10%,1572,5.40%,"25,143",86.50%
Dare,248,0.70%,336,0.90%,2827,7.50%,21,0.10%,927,2.50%,"32,699",87.10%
Davidson,1414,0.80%,2996,1.80%,13083,7.70%,128,0.10%,16530,9.80%,"133,335",78.80%
Davie,308,0.70%,399,0.90%,3178,7.30%,13,0.00%,2712,6.30%,"36,173",83.60%
Duplin,874,1.50%,462,0.80%,13607,23.10%,312,0.50%,14148,24.10%,"29,867",50.80%
Durham,3098,0.90%,18550,5.70%,44737,13.70%,418,0.10%,114528,35.00%,"141,597",43.30%
Edgecombe,376,0.70%,176,0.30%,2695,5.30%,73,0.10%,28964,57.00%,"18,213",35.80%
Forsyth,3636,0.90%,10256,2.70%,52007,13.50%,641,0.20%,99196,25.80%,"214,211",55.80%
Franklin,700,1.00%,581,0.80%,6562,9.10%,91,0.10%,17784,24.70%,"45,311",63.10%
Gaston,1440,0.60%,3845,1.70%,17819,7.90%,154,0.10%,40109,17.70%,"159,337",70.30%
Gates,81,0.70%,42,0.40%,283,2.50%,13,0.10%,3527,30.80%,"7,292",63.60%
Graham,711,8.40%,51,0.60%,317,3.70%,9,0.10%,42,0.50%,"7,265",85.70%
Granville,567,0.90%,481,0.80%,5361,8.90%,58,0.10%,18735,31.00%,"34,727",57.40%
