jurisdiction,count_American_Indian_Alaska_Native,percent_American_Indian_Alaska_Native,count_Asian,percent_Asian,count_Hispanic,percent_Hispanic,count_Native_Hawaiian_Pacific_Islander,percent_Native_Hawaiian_Pacific_Islander,count_Black,percent_Black,count_White,percent_White
Franklin,662,0.90%,485,0.70%,6253,9.00%,88,0.10%,17491,25.10%,"43,899",63.00%
Gaston,1334,0.60%,3654,1.60%,17014,7.60%,155,0.10%,38879,17.30%,"159,710",71.10%
Gates,72,0.60%,36,0.30%,276,2.40%,12,0.10%,3578,30.90%,"7,352",63.60%
Graham,671,7.90%,46,0.50%,316,3.70%,10,0.10%,36,0.40%,"7,269",86.10%
Granville,527,0.90%,425,0.70%,5147,8.50%,58,0.10%,18788,31.10%,"34,917",57.80%
Greene,471,2.20%,122,0.60%,3308,15.70%,58,0.30%,7517,35.70%,"9,820",46.60%
Guilford,4140,0.80%,28318,5.30%,45191,8.40%,525,0.10%,184696,34.40%,"265,292",49.40%
Halifax,2036,4.10%,427,0.90%,1558,3.10%,37,0.10%,26593,53.20%,"19,013",38.00%
Harnett,2347,1.70%,1744,1.30%,18178,13.40%,310,0.20%,28286,20.80%,"82,487",60.70%
Haywood,421,0.70%,375,0.60%,2672,4.30%,31,0.00%,784,1.30%,"57,428",92.20%
Henderson,815,0.70%,1500,1.30%,12137,10.30%,257,0.20%,3718,3.20%,"97,616",83.10%
Hertford,306,1.30%,180,0.80%,982,4.10%,12,0.10%,14267,60.30%,"7,738",32.70%
Hoke,5018,9.10%,817,1.50%,7695,13.90%,222,0.40%,18677,33.80%,"21,399",38.70%
Hyde,39,0.80%,33,0.70%,485,9.80%,1,0.00%,1292,26.20%,"3,052",61.80%
Iredell,989,0.50%,5000,2.80%,14603,8.00%,113,0.10%,21490,11.80%,"137,085",75.40%
Jackson,3980,9.10%,480,1.10%,2746,6.20%,17,0.00%,936,2.10%,"35,433",80.60%
Johnston,1970,0.90%,1972,0.90%,29475,14.10%,218,0.10%,33627,16.10%,"139,888",66.80%
Jones,101,1.10%,52,0.60%,484,5.10%,4,0.00%,2720,28.90%,"5,926",62.90%
Lee,821,1.30%,853,1.40%,12105,19.60%,102,0.20%,11753,19.00%,"35,698",57.80%
Lenoir,357,0.60%,413,0.70%,4422,7.90%,108,0.20%,22839,40.80%,"27,367",48.90%
Lincoln,414,0.50%,685,0.80%,6480,7.50%,48,0.10%,4683,5.40%,"72,825",84.60%
Macon,309,0.90%,376,1.00%,2641,7.40%,20,0.10%,486,1.40%,"31,786",88.60%
Madison,112,0.50%,111,0.50%,532,2.40%,10,0.00%,298,1.40%,"20,435",93.90%
Martin,124,0.60%,121,0.50%,916,4.10%,42,0.20%,9327,41.60%,"11,732",52.30%
McDowell,386,0.80%,488,1.10%,2920,6.40%,23,0.10%,1729,3.80%,"39,890",87.20%
Mecklenburg,8962,0.80%,70054,6.30%,152925,13.80%,1094,0.10%,349838,31.50%,"512,279",46.10%
Mitchell,141,0.90%,106,0.70%,923,6.20%,23,0.20%,85,0.60%,"13,638",91.10%
Montgomery,304,1.10%,440,1.60%,4231,15.60%,17,0.10%,4965,18.30%,"17,093",62.90%
Moore,1015,1.00%,1595,1.60%,7156,7.10%,170,0.20%,11777,11.70%,"77,707",77.00%
Nash,977,1.00%,905,1.00%,6940,7.40%,97,0.10%,38298,40.60%,"46,140",48.90%
New Hanover,1308,0.60%,3685,1.60%,13610,5.80%,242,0.10%,30400,13.00%,"181,550",77.40%
Northampton,130,0.70%,59,0.30%,513,2.60%,6,0.00%,11025,56.60%,"7,552",38.80%
Onslow,1865,0.90%,4452,2.20%,25521,12.90%,603,0.30%,29029,14.70%,"130,099",65.70%
Orange,883,0.60%,11966,8.10%,12816,8.60%,101,0.10%,16820,11.30%,"103,220",69.50%
Pamlico,99,0.80%,76,0.60%,542,4.30%,25,0.20%,2357,18.50%,"9,445",74.20%
Pasquotank,253,0.60%,630,1.60%,2300,5.80%,31,0.10%,14290,35.90%,"21,634",54.30%
Pender,554,0.90%,433,0.70%,4742,7.50%,52,0.10%,8982,14.20%,"47,572",75.40%
Perquimans,68,0.50%,69,0.50%,370,2.70%,2,0.00%,3013,22.40%,"9,772",72.60%
Person,349,0.90%,168,0.40%,1785,4.50%,10,0.00%,10444,26.40%,"26,172",66.30%
Pitt,960,0.50%,3842,2.10%,11730,6.50%,267,0.10%,63525,35.10%,"97,722",54.10%
Polk,129,0.60%,174,0.80%,1223,5.90%,4,0.00%,840,4.10%,"18,180",87.70%
Randolph,1671,1.20%,2195,1.50%,17224,12.00%,145,0.10%,8870,6.20%,"112,661",78.40%
Richmond,1464,3.30%,440,1.00%,3052,6.80%,68,0.20%,13998,31.20%,"25,321",56.50%
Robeson,55222,42.30%,863,0.70%,12048,9.20%,197,0.20%,30027,23.00%,"32,290",24.70%
Rockingham,535,0.60%,612,0.70%,5760,6.30%,97,0.10%,16924,18.60%,"65,662",72.10%
Rowan,918,0.60%,1753,1.20%,13400,9.40%,131,0.10%,23001,16.20%,"101,394",71.40%
Rutherford,268,0.40%,414,0.60%,3225,4.80%,48,0.10%,6424,9.60%,"55,506",82.80%
Sampson,2345,3.70%,399,0.60%,13057,20.60%,182,0.30%,15994,25.20%,"31,949",50.30%
Scotland,4463,12.80%,321,0.90%,1150,3.30%,18,0.10%,13408,38.50%,"14,807",42.50%
Stanly,295,0.50%,1271,2.00%,2786,4.40%,161,0.30%,6925,11.00%,"50,778",80.80%
Stokes,215,0.50%,188,0.40%,1507,3.30%,13,0.00%,1775,3.90%,"41,434",90.90%
Surry,473,0.70%,565,0.80%,7963,11.10%,63,0.10%,2658,3.70%,"59,744",83.20%
Swain,4297,30.10%,102,0.70%,822,5.80%,5,0.00%,156,1.10%,"8,662",60.70%
Transylvania,157,0.50%,224,0.70%,1168,3.40%,22,0.10%,1166,3.40%,"31,076",90.40%
Tyrrell,38,0.90%,78,1.90%,376,9.40%,1,0.00%,1498,37.30%,"1,973",49.10%
Union,1500,0.60%,8670,3.60%,27515,11.50%,164,0.10%,28434,11.90%,"170,503",71.10%
Vance,441,1.00%,335,0.80%,3675,8.30%,26,0.10%,22516,50.60%,"17,348",39.00%
Wake,8785,0.80%,85420,7.70%,115531,10.40%,861,0.10%,222192,20.00%,"662,234",59.60%
Warren,1118,5.70%,87,0.40%,773,3.90%,5,0.00%,9961,50.50%,"7,532",38.20%
Washington,109,0.90%,47,0.40%,653,5.60%,3,0.00%,5569,48.10%,"5,120",44.20%
Watauga,231,0.40%,648,1.20%,2261,4.00%,23,0.00%,922,1.60%,"51,352",91.40%
Wayne,1049,0.90%,1648,1.30%,15327,12.40%,189,0.20%,38372,31.20%,"64,930",52.70%
Wilkes,283,0.40%,394,0.60%,4728,6.90%,60,0.10%,2983,4.40%,"59,331",86.70%
Wilson,529,0.60%,1024,1.30%,8819,10.80%,111,0.10%,32350,39.50%,"38,317",46.80%
Yadkin,273,0.70%,173,0.50%,4338,11.50%,48,0.10%,1143,3.00%,"31,578",83.80%
Yancey,137,0.80%,57,0.30%,998,5.50%,52,0.30%,160,0.90%,"16,619",92.00%
