jurisdiction,count_American_Indian_Alaska_Native,percent_American_Indian_Alaska_Native,count_Asian,percent_Asian,count_Hispanic,percent_Hispanic,count_Native_Hawaiian_Pacific_Islander,percent_Native_Hawaiian_Pacific_Islander,count_Black,percent_Black,count_White,percent_White
Alamance,2466,1.50%,2958,1.70%,22130,13.10%,144,0.10%,34090,20.10%,"106,676",62.90%
Alexander,199,0.50%,385,1.00%,1788,4.80%,20,0.10%,2138,5.70%,"32,492",86.70%
Alleghany,59,0.50%,89,0.80%,1097,9.90%,5,0.00%,162,1.50%,"9,659",86.70%
Anson,227,0.90%,360,1.50%,1006,4.10%,16,0.10%,11756,48.10%,"10,840",44.30%
Ashe,114,0.40%,138,0.50%,1390,5.10%,15,0.10%,204,0.70%,"25,105",92.30%
Avery,103,0.60%,107,0.60%,887,5.10%,14,0.10%,788,4.50%,"15,543",88.50%
Beaufort,490,1.00%,249,0.50%,3769,8.00%,35,0.10%,11294,24.00%,"30,986",65.90%
Bertie,137,0.70%,145,0.80%,446,2.40%,19,0.10%,11493,60.70%,"6,568",34.70%
Bladen,1015,3.10%,109,0.30%,2538,7.80%,13,0.00%,10891,33.30%,"17,979",54.90%
Brunswick,1195,0.80%,1070,0.70%,7042,4.90%,159,0.10%,13918,9.70%,"117,562",82.30%
Buncombe,1365,0.50%,3717,1.40%,17870,6.80%,412,0.20%,15666,6.00%,"217,716",83.40%
Burke,833,0.90%,3287,3.60%,5855,6.50%,598,0.70%,5976,6.60%,"73,613",81.40%
Cabarrus,1573,0.70%,10263,4.70%,24034,11.10%,208,0.10%,40180,18.60%,"137,189",63.40%
Caldwell,534,0.60%,619,0.80%,4854,5.90%,79,0.10%,3959,4.80%,"71,265",86.70%
Camden,60,0.60%,233,2.10%,327,3.00%,6,0.10%,1212,11.20%,"8,749",80.50%
Carteret,439,0.60%,877,1.30%,3067,4.40%,119,0.20%,3728,5.40%,"60,113",86.50%
Caswell,175,0.80%,131,0.60%,1035,4.60%,6,0.00%,7177,31.80%,"13,783",61.00%
Catawba,967,0.60%,7195,4.50%,16175,10.10%,185,0.10%,13510,8.50%,"119,524",74.90%
Chatham,890,1.20%,1663,2.20%,9026,12.10%,89,0.10%,8763,11.80%,"53,668",72.10%
Cherokee,446,1.60%,203,0.70%,937,3.30%,18,0.10%,396,1.40%,"26,057",91.10%
Chowan,66,0.50%,116,0.80%,522,3.70%,33,0.20%,4725,33.90%,"8,343",59.80%
Clay,79,0.70%,50,0.40%,434,3.90%,6,0.10%,128,1.10%,"10,389",92.50%
Cleveland,382,0.40%,1031,1.10%,3690,3.80%,33,0.00%,20168,20.60%,"71,268",72.80%
Columbus,2086,3.80%,303,0.50%,3094,5.60%,48,0.10%,16668,30.00%,"32,809",59.10%
Craven,680,0.70%,2986,2.90%,7770,7.60%,200,0.20%,21204,20.80%,"67,005",65.60%
Cumberland,6231,1.90%,9104,2.70%,40572,12.10%,1438,0.40%,124839,37.20%,"142,107",42.40%
Currituck,201,0.70%,231,0.80%,1212,4.40%,22,0.10%,1509,5.40%,"24,136",86.90%
Dare,212,0.60%,326,0.90%,2861,7.70%,21,0.10%,914,2.50%,"32,183",87.00%
Davidson,1342,0.80%,2717,1.60%,12450,7.40%,111,0.10%,16183,9.70%,"133,051",79.40%
Davie,301,0.70%,366,0.90%,3107,7.30%,11,0.00%,2631,6.10%,"35,942",83.90%
Duplin,804,1.40%,440,0.70%,13517,23.00%,249,0.40%,14182,24.10%,"29,950",51.00%
Durham,2898,0.90%,17585,5.50%,43928,13.70%,329,0.10%,114467,35.60%,"138,175",43.00%
Edgecombe,387,0.80%,165,0.30%,2553,5.00%,69,0.10%,29463,57.20%,"18,549",36.00%
Forsyth,3406,0.90%,9786,2.60%,50828,13.30%,482,0.10%,98623,25.80%,"215,155",56.30%
