jurisdiction,count_American_Indian_Alaska_Native,percent_American_Indian_Alaska_Native,count_Asian,percent_Asian,count_Hispanic,percent_Hispanic,count_Native_Hawaiian_Pacific_Islander,percent_Native_Hawaiian_Pacific_Islander,count_Black,percent_Black,count_White,percent_White
Rowan,1014,0.70%,1743,1.20%,14896,10.10%,177,0.10%,24308,16.40%,"104,191",70.30%
Rutherford,247,0.40%,436,0.70%,3388,5.20%,49,0.10%,6182,9.60%,"53,135",82.30%
Sampson,2406,4.10%,414,0.70%,12568,21.30%,223,0.40%,14534,24.60%,"29,349",49.80%
Scotland,4716,13.80%,333,1.00%,1258,3.70%,22,0.10%,13191,38.50%,"14,093",41.20%
Stanly,328,0.50%,1257,2.00%,3098,4.90%,165,0.30%,7175,11.30%,"50,802",80.10%
Stokes,214,0.50%,191,0.40%,1627,3.70%,15,0.00%,1807,4.10%,"40,174",90.20%
Surry,479,0.70%,583,0.80%,8426,11.80%,67,0.10%,2655,3.70%,"58,586",82.30%
Swain,4486,31.70%,111,0.80%,961,6.80%,8,0.10%,175,1.20%,"8,286",58.60%
Transylvania,160,0.50%,221,0.70%,1191,3.60%,19,0.10%,1105,3.30%,"29,837",90.00%
Tyrrell,40,1.20%,61,1.90%,342,10.50%,0,0.00%,1074,33.00%,"1,679",51.60%
Union,1667,0.70%,10251,4.20%,29340,12.00%,226,0.10%,28868,11.80%,"169,971",69.80%
Vance,420,1.00%,384,0.90%,3656,8.70%,32,0.10%,21496,51.00%,"15,953",37.80%
Wake,9216,0.80%,95277,8.30%,120466,10.50%,985,0.10%,228374,19.90%,"676,444",58.80%
Warren,1150,6.10%,82,0.40%,794,4.20%,6,0.00%,9270,49.40%,"7,210",38.40%
Washington,129,1.20%,49,0.40%,673,6.20%,4,0.00%,5163,47.40%,"4,796",44.00%
Watauga,235,0.40%,676,1.20%,2246,4.10%,24,0.00%,956,1.80%,"49,387",91.10%
Wayne,1055,0.90%,1549,1.30%,15491,13.30%,221,0.20%,36410,31.20%,"60,222",51.50%
Wilkes,295,0.40%,409,0.60%,4648,7.10%,81,0.10%,2873,4.40%,"56,841",86.40%
Wilson,589,0.80%,973,1.20%,8930,11.40%,120,0.20%,30901,39.40%,"36,067",46.00%
Yadkin,275,0.70%,202,0.50%,4412,11.90%,74,0.20%,1167,3.10%,"30,953",83.20%
Yancey,136,0.70%,64,0.30%,1032,5.50%,55,0.30%,160,0.90%,"17,229",91.90%
