jurisdiction,year,total_evictions,months_reported,total_population,evictions_per_1000,count_black,count_hispanic,count_white,count_asian,count_native,count_pacific,count_other,count_multiracial,percent_black,percent_hispanic,percent_white,percent_asian,percent_native,percent_pacific,percent_other,percent_multiracial,is_complete_year,data_completeness
Cherokee,2022,120,12,28026,4.281738385784628,418,1059,26336,213,0,0,0,0,1.4,3.6,90.6,0.7,0,0,0,0,true,100.0%
Cherokee,2023,60,6,28084,2.1364477994587667,440,1109,26327,208,0,0,0,0,1.5,3.8,90.3,0.7,0,0,0,0,false,50.0%
Hertford,2020,118,11,23785,4.961109943241539,14256,909,7808,812,0,0,0,0,60.3,3.8,33,1.5,0,0,0,0,false,91.7%
Hertford,2021,96,12,23167,4.14382526870117,14267,982,7738,180,0,0,0,0,60.3,4.1,32.7,0.8,0,0,0,0,true,100.0%
Hertford,2022,164,12,22597,7.2576005664468735,13885,885,7612,215,0,0,0,0,60.1,3.8,32.9,0.9,0,0,0,0,true,100.0%
Hertford,2023,97,6,20761,4.672221954626463,12741,849,6953,218,0,0,0,0,59.9,4,32.7,1,0,0,0,0,false,50.0%
Watauga,2020,111,12,55984,1.9827093455272935,964,2097,51263,1660,0,0,0,0,1.7,3.7,91.6,1.3,0,0,0,0,true,100.0%
Watauga,2021,109,12,55183,1.9752459996738125,922,2261,51352,648,0,0,0,0,1.6,4,91.4,1.2,0,0,0,0,true,100.0%
Watauga,2022,146,12,55468,2.632148265666691,948,2289,51532,699,0,0,0,0,1.7,4.1,91.3,1.2,0,0,0,0,true,100.0%
Watauga,2023,75,6,53265,1.4080540692762602,956,2246,49387,676,0,0,0,0,1.8,4.1,91.1,1.2,0,0,0,0,false,50.0%
Caswell,2020,49,11,29060,1.686166551961459,7245,944,13876,6995,0,0,0,0,31.9,4.2,61.1,4.4,0,0,0,0,false,91.7%
Caswell,2021,75,12,22126,3.389677302720781,7177,1035,13783,131,0,0,0,0,31.8,4.6,61,0.6,0,0,0,0,true,100.0%
Caswell,2022,86,12,21972,3.9140724558529034,7130,1049,13649,144,0,0,0,0,31.8,4.7,60.8,0.6,0,0,0,0,true,100.0%
Caswell,2023,49,6,22228,2.2044268490192547,7134,1113,13828,153,0,0,0,0,31.4,4.9,60.9,0.7,0,0,0,0,false,50.0%
Yadkin,2020,126,12,36989,3.4064181243072262,1156,4192,31583,58,0,0,0,0,3.1,11.2,84.1,0.3,0,0,0,0,true,100.0%
Yadkin,2021,118,12,37232,3.1693167168027503,1143,4338,31578,173,0,0,0,0,3,11.5,83.8,0.5,0,0,0,0,true,100.0%
Yadkin,2022,165,12,37177,4.438227936627485,1147,4322,31496,212,0,0,0,0,3,11.5,83.7,0.6,0,0,0,0,true,100.0%
Yadkin,2023,56,6,36734,1.5244732400500898,1167,4412,30953,202,0,0,0,0,3.1,11.9,83.2,0.5,0,0,0,0,false,50.0%
